Date,Open,High,Low,Close,Adj Close,Volume
2018-05-23,102806.398438,103490.296875,101419.898438,101891.703125,101891.703125,1069650500
2018-05-24,103027.101563,103758.601563,100888.796875,101138.101563,101138.101563,1222623000
2018-05-25,101786.203125,103349.203125,101321.601563,103200.101563,103200.101563,973192300
2018-05-28,104481.101563,106525.296875,104416.398438,106525.296875,106525.296875,948081300
2018-05-29,105930.296875,105930.296875,104286.898438,105113.398438,105113.398438,897553600
2018-05-30,104979.203125,105785.203125,103639.500000,103869.000000,103869.000000,1086920900
2018-05-31,104264.398438,104375.296875,100579.796875,100652.296875,100652.296875,1246653900
2018-06-01,100706.796875,100792.500000,97990.601563,99171.203125,99171.203125,1276226300
2018-06-04,99264.398438,100510.296875,98937.898438,99249.796875,99249.796875,890151400
2018-06-05,99600.398438,99908.500000,97665.398438,97823.203125,97823.203125,833959700
2018-06-06,98269.601563,98361.796875,95126.500000,96657.703125,96657.703125,1090849000
2018-06-07,96442.296875,98795.296875,96070.203125,98623.703125,98623.703125,1160099000
2018-06-08,98190.703125,98190.703125,95625.000000,95875.703125,95875.703125,1035821700
2018-06-11,95922.296875,97186.500000,93396.500000,96661.398438,96661.398438,1159313700
2018-06-12,96473.500000,96783.203125,94950.601563,95307.000000,95307.000000,878711400
2018-06-13,94825.500000,95608.500000,93337.296875,93504.796875,93504.796875,831800900
2018-06-14,93295.898438,95406.203125,92750.898438,94540.796875,94540.796875,464240900
2018-06-15,null,null,null,null,null,null
2018-06-18,94235.898438,94235.898438,92720.898438,93043.296875,93043.296875,678649100
2018-06-19,92597.601563,94743.203125,92288.601563,94436.898438,94436.898438,925436300
2018-06-20,94296.000000,95246.703125,93719.101563,94551.898438,94551.898438,882612200
2018-06-21,94590.296875,95398.296875,94324.296875,95057.203125,95057.203125,797760900
2018-06-22,95517.203125,96186.796875,94451.500000,95852.101563,95852.101563,715397300
2018-06-25,99255.796875,99394.101563,93365.500000,94008.296875,94008.296875,1321818100
2018-06-26,94077.898438,95101.500000,93807.703125,94408.203125,94408.203125,1046361400
2018-06-27,94432.898438,96187.296875,94292.601563,95954.796875,95954.796875,1347174200
2018-06-28,95807.296875,96993.203125,95487.000000,96227.000000,96227.000000,1177913100
2018-06-29,96827.203125,97500.101563,96230.101563,96520.101563,96520.101563,977674500
2018-07-02,96094.398438,97267.296875,95654.898438,96773.500000,96773.500000,948867400
2018-07-03,97027.898438,97445.796875,96450.398438,96588.203125,96588.203125,914661400
2018-07-04,96795.500000,97455.101563,96392.101563,97230.101563,97230.101563,793309100
2018-07-05,97559.703125,99264.796875,97559.703125,99097.000000,99097.000000,1274770200
2018-07-06,99301.500000,99806.398438,98109.898438,98733.898438,98733.898438,1125538100
2018-07-09,99596.101563,100807.796875,98733.000000,99252.796875,99252.796875,1341108900
2018-07-10,97651.000000,98466.203125,95851.296875,96274.703125,96274.703125,1537862200
2018-07-11,95281.703125,95281.703125,91215.898438,91289.500000,91289.500000,1731585800
2018-07-12,91729.398438,92466.500000,88168.898438,89571.296875,89571.296875,1856558500
2018-07-13,89998.601563,91021.296875,89317.500000,89897.703125,89897.703125,973049600
2018-07-16,90683.500000,91044.296875,89165.601563,89744.000000,89744.000000,1075631900
2018-07-17,89818.398438,91638.296875,89767.898438,91629.601563,91629.601563,1303871600
2018-07-18,91722.203125,92456.000000,90421.000000,92322.000000,92322.000000,1494651800
2018-07-19,92752.296875,93295.796875,92193.500000,93002.898438,93002.898438,1126421600
2018-07-20,93268.898438,94169.398438,92787.203125,94082.296875,94082.296875,1008460800
2018-07-23,94173.500000,96035.601563,94173.500000,95305.203125,95305.203125,1090229800
2018-07-24,95524.398438,95567.898438,91722.703125,92133.796875,92133.796875,1435180900
2018-07-25,92382.500000,95763.601563,92165.296875,95368.601563,95368.601563,1573474800
2018-07-26,95776.296875,96680.796875,93537.101563,94817.296875,94817.296875,1629374800
2018-07-27,94902.898438,95977.296875,94444.500000,95584.796875,95584.796875,1164967800
2018-07-30,95340.398438,96269.398438,94921.101563,96157.703125,96157.703125,1030376800
2018-07-31,95942.203125,97231.601563,95794.296875,96952.203125,96952.203125,1204565100
2018-08-01,97121.796875,97409.601563,96245.398438,97210.601563,97210.601563,1066619500
2018-08-02,95518.203125,95518.203125,94153.296875,94543.296875,94543.296875,1104814500
2018-08-03,94483.398438,96064.296875,94483.398438,95610.500000,95610.500000,1209842000
2018-08-06,95290.500000,95500.796875,93568.398438,94174.000000,94174.000000,1121303600
2018-08-07,94585.203125,96420.601563,94369.296875,96161.000000,96161.000000,1385147600
2018-08-08,96327.296875,97260.398438,95969.601563,96973.898438,96973.898438,1262035600
2018-08-09,95661.601563,98743.898438,95408.703125,97185.101563,97185.101563,2179690200
2018-08-10,95603.398438,97810.101563,88598.101563,94939.601563,94939.601563,2282796300
2018-08-13,93869.500000,93869.500000,88432.601563,92684.601563,92684.601563,2508943300
2018-08-14,94689.398438,95299.101563,92810.000000,93418.703125,93418.703125,1767027700
2018-08-15,95040.898438,95245.000000,90131.500000,90263.000000,90263.000000,1650888600
2018-08-16,91492.796875,91568.601563,87143.203125,87143.203125,87143.203125,1486873600
2018-08-17,86602.203125,88764.203125,84654.500000,88734.796875,88734.796875,1286341000
2018-08-20,88984.500000,90476.500000,88938.601563,90186.000000,90186.000000,377283900
2018-08-21,null,null,null,null,null,null
2018-08-22,null,null,null,null,null,null
2018-08-23,null,null,null,null,null,null
2018-08-24,null,null,null,null,null,null
2018-08-27,90921.296875,91284.000000,89999.203125,91284.000000,91284.000000,901124600
2018-08-28,91274.500000,93974.601563,90991.601563,93866.898438,93866.898438,1212153500
2018-08-29,93317.000000,94279.703125,92760.398438,93280.703125,93280.703125,1051698300
2018-08-30,null,null,null,null,null,null
2018-08-31,93450.101563,93658.203125,92132.898438,92723.398438,92723.398438,932085800
2018-09-03,92291.296875,94656.101563,92205.601563,93915.601563,93915.601563,1005149200
2018-09-04,94254.500000,94589.101563,92915.398438,93189.296875,93189.296875,842856500
2018-09-05,93100.296875,93719.500000,92370.796875,92791.000000,92791.000000,969342200
2018-09-06,93121.703125,94166.203125,92763.296875,92763.296875,92763.296875,752172300
2018-09-07,93170.898438,93675.898438,92538.500000,93274.203125,93274.203125,885502600
2018-09-10,93532.898438,93662.601563,91698.296875,91698.296875,91698.296875,891050000
2018-09-11,91874.398438,92748.398438,91450.296875,92389.101563,92389.101563,852374100
2018-09-12,92836.296875,93552.500000,91923.796875,92227.398438,92227.398438,1051216500
2018-09-13,92257.898438,94610.398438,91206.203125,94419.203125,94419.203125,1556163000
2018-09-14,95319.796875,96298.898438,94377.000000,94759.601563,94759.601563,1501287900
2018-09-17,94477.398438,95105.000000,93790.101563,94347.703125,94347.703125,1235707900
2018-09-18,94735.500000,95374.898438,94538.101563,94886.898438,94886.898438,1219779900
2018-09-19,95480.296875,96722.703125,95272.203125,96603.796875,96603.796875,1771462700
2018-09-20,97013.703125,97387.898438,95522.898438,96121.101563,96121.101563,2122735200
2018-09-21,96598.796875,97988.203125,96598.796875,97988.203125,97988.203125,1243301200
2018-09-24,98284.203125,99562.000000,97782.000000,99547.398438,99547.398438,1810832500
2018-09-25,100096.796875,100181.000000,98636.296875,99292.500000,99292.500000,1684109900
2018-09-26,99512.500000,99773.296875,98147.601563,99148.898438,99148.898438,1125384400
2018-09-27,99083.898438,100637.703125,98934.203125,100298.703125,100298.703125,1891820400
2018-09-28,100427.398438,100473.000000,99173.703125,99956.898438,99956.898438,1963454700
2018-10-01,100075.203125,100647.000000,98537.203125,98537.203125,98537.203125,1642485500
2018-10-02,98427.601563,98713.703125,97373.796875,98160.703125,98160.703125,1255719200
2018-10-03,98204.500000,98698.601563,96944.500000,97187.898438,97187.898438,1257584600
